sit	octal	total	clade	geography
1803	617777607760771	3	LAM9	ARG(1) FXX(1) SEN(1)
418	617777777720771	5	H3	ARG(1) USA (4)
1859	624073777700600	3	BOV	ARG(2) BRA(1)
1303	624073777777600	2	BOV	BEL(1) IRL(1)
419	630000207760771	4	LAM9	USA (4)
996	636373677777600	2	BOV	FXX(2)
1156	636377607760771	2	LAM9-S	USA(2)
1587	636377770760771	2	S	AUT(1) DEU(1)
997	636773777777600	28	BOVIS1	ARG(2) BRA(1) FXX(20) MEX(5)
1633	637403607760671	2	LAM9	USA(2)
